message_clean,sentimen
lu manado jakarta jutidak belom mulai nih mpl,negative
sapa tadi bilang jam,neutral
lama banget,negative
lets goo alter egoe,negative
woilah nungood tidakmeu mnit,negative
bener jam berapa tot,negative
alter ego mbapuk,negative
hahah kene scammed baru on lagu,negative
baru yanyi yanyi sampe setentidakh jam,neutral
liat postintidakn terbaru mpl jam mulainya,neutral
alter ego,negative
bismillahh onic,positive
kapan rrq main,neutral
hahaha,positive
ntidakret wee,positive
alter ego,negative
woi cendy pulang,neutral
mulai tidakpenting dlu inii jam baru match nya,negative
telat setentidakh jam,negative
bismillah onic,positive
selamat menungood tidakmeu mnt lagii loudly crying face,negative
caster nya siapa sekarang,negative
yanyi dulu menit tertawaakak,neutral
goo onic,positive
gw kira gw pertama face with tears of joy face with tears of joy,positive
onic time,positive
admin hbs makan ayam geprek,neutral
tidakss,negative
tertawaktertawa musuh fans alter egoron,neutral
onic,positive
alter ego filling gw,negative
awas alter ego jadi jadian rolling on the floor laughing face with tears of joy,neutral
lets go alter ego be the champion,neutral
onic alter ego,positive
gogogo,positive
yos,negative
cendyy,positive
tidaks alter ego yakin menang,negative
alter ego mengukir sejarah,negative
ngopi dlu nungood tidakmeu,neutral
ayoo onic goo onic,positive
goo onic,positive
jir bang cendy,negative
semantidakt alter ego salam malaysia,negative
bismillah skylar petidakng piala mpl,neutral
kekny jm mulai matchny,neutral
let s goo,negative
final seru sama kuat tp lebih kuat bakal jadi juara,positive
tadi minutes,negative
bissmilaah onci goo,negative
katanya mulai udh mau jam blum apa apa,negative
goo alter ego,negative
mainnya jam keknya,negative
rrq main jam brpa,neutral
alter ego letsgoo,negative
alter ego go go go,negative
min clip youtube orang grand final uda main,neutral
rrq goa,positive
goo onic,positive
alter ego pulang aja,negative
semantidakt landak lucu red heart,negative
intinya membohongi publik,negative
alter ego go go go,negative
onic menang,positive
what it s time,negative
goo sonic,positive
bismillah semotidak onic pleading face pleading face,neutral
terserah menang tim apa karna duaduanya tim favorit ku,positive
bismillah alter ego,negative
awas alter ego jadi jadian winking face,negative
its onic time,negative
its onic timee,positive
ndasmu go go go,positive
beras,positive
lahh cendol tertawatertawa,neutral
nino maaf koh face blue smiling,negative
main nyaa jm,negative
lah fun match,positive
nungood tidakmeu jam,negative
semantidakt onic,negative
semotidak onic menang salam blantidako,neutral
lama menit,positive
onic juaraa clip,positive
squinting face with tongue backhand index pointing up,neutral
letsgoo alter ego,negative
onic lest go,positive
magrib mah mulainya guys,neutral
tenang onic juara,positive
apa kok cendy,negative
yok onic bisaa,positive
lama,negative
kebanyakan sarkas player sebenarnya iri player malter egon tidakme terus dapet tidakji,negative
berharap onic juara sih,positive
dukung onic mana suaranya,neutral
bismillahirrahmanirrahim semotidak onic menang,neutral
jam mulainya,positive
semotidak alter ego juara biar juara baru warna baru jantidakn team aja juara,negative
tidaksabar liat skylar juara onic,positive
onic,positive
mulainya jam berapa woii,negative
akhirnya lipe,neutral
letsgoo alter ego,negative
lets goo kink alter ego vs skyking onic,negative
vii,negative
onic,positive
yok alter ego yok,negative
sepi tidak king rrq,neutral
alter ego mau pulang sendiri apa pulangin onic,negative
alter ego lokal pride,negative
alter ego,negative
jir lama banget jam,negative
lama,negative
kapan mulainya woi,negative
kalau lihat permainan juara baru season,neutral
onic,positive
alter ego go go go,negative
mnt belun ngobrol,negative
alter ego alter ego alter ego alter egoe,negative
alter ego juara,negative
badut,negative
kalimat lucu alter ego mengukir sejarah,negative
mnt,positive
dah selesai yaa,negative
alter ego juara yokk,negative
wtf cendy,positive
face red droopy eyes,neutral
lama,negative
onic my heart,positive
scam,negative
mpl id dentidakn tetidaks menentang setidakla bentuk perjudian mendukung kompetisi adil berintegritas bangun komunitas menghormati nilai nilai sportivitas dunia esports,neutral
woi,positive
jam brp grand final mulai,neutral
langsung aja kasih piala mpl nya onic piala m tlph face blue smiling face blue smiling,neutral
siap siap king alter ego antidakat piala,negative
jam lama kok sdah rame aja,negative
setidaknteng dibilang badut face with tears of joy face with tears of joy,neutral
alter ego go go g,negative
let s go alter ego,negative
tandain gw onic juara gw botak pile of poo,negative
apaa dulu,neutral
mulai nya kapan dah,negative
go go onic,positive
alter ego mengukir sejarah baru,negative
rrq juara nih,positive
udh sonic tidak usa nonton alter ego bakal juara,neutral
grandfinal mulai ntar subuh kocak,neutral
evos evos divine tidakada apanya,negative
m kapan,negative
alter ego juara catat,negative
dah tau siapa juara nya,positive
jutaan ayok gw alter ego,negative
lagu shinbi jier,positive
onic alter ego,positive
onic lh jls,positive
onic juara,positive
tidaks onic,negative
lahh kok bang crispy,positive
alter ego juara fix,neutral
semotidak kejutan buat alter ego,negative
seketika banyak ntidaku sonic face with tears of joy,negative
onic juara catat,neutral
fans karbitan,negative
rrq kapan main,positive
skip cendyy,positive
alter ego onic tidak usah bawa tim,negative
jta onic,positive
alter ego cik juara sonic out aja,neutral
jm brp mulai ntidakb match satu,neutral
sonic lari nek,negative
ssmotidak onic lose,negative
rrq juara goa rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,neutral
onic menangood tidakme,neutral
alter ego juara,negative
onic timee,positive
dah main ngood tidakmea sih,negative
nungood tidakmeu jam baru mulai,negative
kasihh alter ego aja piala nyaa,positive
jam berapaa main,negative
onic juara tandain guee red heart,neutral
xepher jenius njir,positive
sonic lahir nek,negative
diatas onic alter ego rolling on the floor laughing,neutral
bismillah onic,positive
jam brp,positive
onic jt sini,positive
onic,positive
sepi tidak disana,positive
jam brpa malter egon nya,positive
go alter ego go alter ego go,negative
alter ego juara kerana alter ego on fire and lama menanti sedantidakan onic masi posisi selesa,neutral
nya alter ego juara,negative
delwyn dellost nih guyss,negative
onic go to goa lah alter ego juara,positive
bismillahirrahmanirrahim semotidak onic juara,neutral
p,positive
kasih terbaik aja kedua team,positive
petidakng ererq jt all in,negative
rrq tidak diundang kasihan huahahahhaa,negative
alter ego,negative
jam baru mulai,negative
nt onic,negative
rrq kapan,negative
alter ego onic,negative
alter egoe juta,negative
onic lose boss,negative
fans onic berjejer blng anic time,neutral
ntidakpain kesian,negative
catat tidakiss alter ego juara,negative
lama kali cok,negative
jam berapa sih mulainya,negative
rrq main nya jam brp,neutral
onic skylar,positive
fokus diri masing aja,negative
yapping,positive
hidupp rrq,neutral
alter ego juara ni,negative
ngetik alter ego win sonic jmbd,neutral
savero main,positive
diatas onic rrq,neutral
ceban,negative
alter egoe lah onic udah gbkln juara kemaren udah juara tidak muntidakin juara lagii,negative
alter ego gogogogo,negative
rrq jam brp main,negative
sonic kumpul squinting face with tongue backhand index pointing up,neutral
alter ego champion,negative
jam mulainya,positive
onik,positive
ntidakak bacanya loudly crying face,negative
opet,negative
jam brp kak,positive
main jam brapa,negative
rrq dah juara m woyy,positive
alter ego onic,negative
hujan redah nya cuyy,positive
onic,positive
jam mulainya,positive
alter ego,negative
final rrq vs tlid rolling on the floor laughing,neutral
counter tlph cuman onic tidakys face with hand over mouth,negative
jt onic,positive
t,negative
onic alter ego,positive
onic posisi udah selesa cuma belum piala m series piala mpl udah banyak kalau onic kalah sini no effect apa apa alter ego on fire jadi aura nyaa kuat,positive
rrq mainnya jam berapa yak,negative
mat seru ni,positive
rrq dah juara m woy,positive
tandain mvp nya yazukee,neutral
misi balas dendam alter ego ni face blue smiling,negative
counter tlph cuman onic tidakys face with hand over mouth,negative
ayok onic it s onic time,negative
onic menang,positive
mnit,positive
match jam berapa,negative
alter ego mengulang apa tlid lakukan,negative
fun match harusnya undang badut rrq,neutral
semotidak alter ego menag yaallah,negative
inioc,negative
cendy ntidakpain,negative
bismillah onic juara,positive
jam main udah live hahaha,positive
kok bawa bawa rrq dah,negative
apa onic,positive
yeahh mnit lgi,positive
main jm berapa,negative
ayo landak kuning hedgehog,negative
go alter egoe,negative
fans fanatik rrq mana nih tertawaw face purple crying,neutral
ayo onic ayo alter ego kasih perlawanan asik,positive
bismillah semotidak onic menang palms up together,neutral
semantidakt alter ego,negative
onic onic,positive
king alter ego siap bantai,negative
lah bang cendol tertawa,positive
solat dulu ges,negative
sejarah mpl s is bsck,neutral
skylar kairi dikantongin yazukee,neutral
rrq goa belajar tembak toy toy toy,positive
go kairi red heart hedgehog,negative
bismillah alter ego juaraa,neutral
mana,negative
main jam berapa,negative
semotidak onic menang allah smiling face with halo folded hands,neutral
mama aku m,positive
mulainya terlalu sore,positive
go alter egoe,negative
onic m bismillah,neutral
ko blm mulai,negative
onic back to back champions,neutral
lembar merah onic,negative
albaniakbar caper banget kurang perhatian ortu,negative
semotidak hari keberuntuntidakn buat tim kesukaan ku menang onic,positive
onic onic onic,positive
bismillah semotidak alter ego juara loudly crying face,negative
rrq mengukir sejarah,positive
ayo alter ego tolongs kalian bisaa,negative
lama njit,negative
mulai jam ges,negative
onic onic,positive
sekali onic tetap onic,positive
jam brpa main,positive
lamaa,positive
mamah aku m,positive
jam,positive
baru baca langsung hilang face with tears of joy,negative
onic sama madrid jarang kalah difinal,positive
alter ego bismillah,negative
ez onic inimah,positive
bismillah onic menang,positive
sorry end thenk you it s my stail,positive
juta alter ego,negative
ayo ajak lembar merah gua alter ego nih,negative
mulai jam ges,negative
mulai jam berapa,negative
jt yuk aku pengood tidakmeang alter ego,negative
baru mulai,negative
semotidak onic kalah,negative
mana notif munn,negative
semuanya bilang terima kasih sutsujin alter ego m atas statement bilang alter ego tidak tidakmeplay buktinya alter ego punya tidakmeplay lolos m,negative
juta onic,positive
ayo gua onic,negative
jam lima baru mulai,negative
juta alter ego sini gua tampung cat orange whistling,neutral
juta onic,positive
fg dr,neutral
gd g df,neutral
dfg,neutral
fd g,neutral
fd,neutral
gfd,neutral
jt onic berani ngood tidakmea,positive
hi,negative
menang alter ego,positive
person turqouise waving,positive
kapan mulai si,negative
kontak kontak,neutral
ayo semantidakt onic,negative
m,positive
onic main jam brp bng,neutral
sorry koh gw ngecewain lu,negative
jt aku petidakng budhe,negative
shushing face,positive
masi lama co,negative
jt gw onis sini,negative
jam berapa sih mulainya,negative
ayo jantidakn hilantidakan,negative
jam berapaa,negative
juta alter ego,negative
langsung aja kasih pialanya onic,neutral
tidak berjudi kalau kalian taruhan pake uang sama aja dentidakn berjudai,negative
tolongs remehin alter ego biar menang,negative
yo gua tampung nih mau berapa juta,neutral
jt berani gw onic,negative
bismillah alter ego menang,neutral
bismillah onic antidakat piala palms up together red heart,neutral
sini evos jt,negative
text green tidakme over,positive
jt gw onic sini,negative
alter ego,negative
sini evos jt,negative
sepi,positive
gua alter ego nih,negative
admin sibuk ngespam tertawatertawak,neutral
dukung onic mana suaranya elbowcough,neutral
onic dong,positive
lama jirr,negative
napa si cendol tertawak,positive
onic gw,positive
alter ego tidakss,negative
mulai nya,positive
alter ego vs onic jam brpa,negative
sini rrq m,neutral
rrq jayaa,positive
gua onic mna evoss jt sini,positive
goo goo onic,positive
nicc,positive
udah jam nihh woyy,negative
dikira tlph doang apa jago tertawatertawa srg jutidak jago woyy,negative
semua bilang sutsujin membuat alter ego m,negative
jt alter ego,negative
onic jta,negative
sih malter egonnya,negative
kindom goa sinyal buat nonton serius nanya,neutral
goo alter egoe,negative
pov papan atas bukan,positive
jt gw alter ego sini,negative
onic,positive
skyleerr,negative
onic go go go,positive
grand final belum final,neutral
petidakng evos sini gua alter ego jt,negative
juta onic,positive
mulai jam berapa,negative
mau jt gw petidakng alter ego,negative
alter ego tidak da tidakmeplay,negative
bang gue live tapi sepi,negative
laah ntidakpain fun match,negative
onic,positive
landak landak ntidakrep juara alter ego nih gua,negative
onic go go,positive
gua onic bakal juara alter ego cupu,neutral
alter egoe,negative
cendoll,positive
kasih langsung piala onik,neutral
juta onic,positive
alter ego bego bego bego,negative
jam brpa mulai nya,negative
aku onic jta,negative
bawa trophy gh alter ego no,neutral
jt onic,positive
langsung aja min,neutral
biar senam jantung,neutral
alter ego menangood tidakme,negative
alter ego,negative
hand pink waving,positive
onic alter ego sanz mvp,neutral
gue pilih menang aja rolling on the floor laughing,neutral
lets goo onic,positive
all in jt alter ego,negative
alter ego pulang aja juara onic,negative
lama yak,negative
geloo ketuaa,neutral
kena kencing lg,negative
persib,positive
alter ego goo,negative
t onic,positive
alter ego,negative
yokk nic,negative
milliar rrq,neutral
alter egoe,negative
paling ntar mulainya jam kek kemaren,neutral
onic,positive
akwoakwoka,negative
tempek,positive
bravo nino,positive
jt alter ego,negative
siapa aja juara gw happy,positive
w pengen liat alter ego menang tp pengen liat skylar membuktikan baru main juara,positive
onic alter ego,positive
onic,positive
jam mainnya tungood tidakmeuin aja,negative
letss go onic,positive
onic,positive
panic,positive
alter ego yok champion,negative
jt all in alter ego,negative
hujat alter ego fansnya kongdom,negative
sanz mvp,positive
its rrq time,neutral
jadi judii,positive
gw mau liat nino nangis antidakat piala mpl,negative
onic,positive
perebutan piala,neutral
onic,positive
alter ego,negative
siapa santidaka,negative
piala onic,negative
jt all in onic,positive
alter ego,negative
woo,negative
menang ditungood tidakmeu king rrq m orange heart,neutral
onic alter ego,positive
siapapun juara semantidakt terus heart suit,positive
lama habis magrib mainya,negative
angood tidakmeota dri mpl tidak byr uang taruhan gua anjuga,neutral
alter ego nii broo,negative
nino nangis antidakat piala mpl,negative
let s go final rrq cat orange whistling,neutral
alter ego,negative
kali,positive
walaupun onic kuat tapi gw tetap sokong alter egoe,negative
all in alter ego,negative
mpl nyari beras,neutral
alter ego yok,negative
onic juara,positive
bocil fomo onic diem aja lah,negative
let s goo alter egoo,positive
yng menang rrq,neutral
udah onic kasih aja piala alter ego kasihan nino winking face with tongue winking face with tongue winking face with tongue,negative
lest goo alter ego,negative
alter ego ayo,negative
o n i c,neutral
gw metidakng alter ego sini,negative
onic goo,negative
gw kingdom alter ego kalah,negative
rrq m lewat jalur panarukan,neutral
alter ego broo,negative
ayaloh alter ego,negative
mpl sentidakja keknya grandfinal awal bulan,neutral
goonic,positive
onic bismillah,positive
goo onic,positive
alter ego kalahh tertawatertawawakkw,negative
onic timee broo,positive
statement sutsujin mimpi bilang alter ego tidak tidakmeplay liat tuh alter ego m tertawatertawatertawa aduh ujin ujin mending mpl my aja ujin tidak usah sama tim badut m series,negative
jt metidakng onik sini,negative
alter ego alter ego alter ego,negative
alter ego win,negative
go nic,negative
tlph dibagi telor ama rrq tlph mah team ez,neutral
gogogo alter ego,negative
udah ditebak juaranya onic,negative
jt gua petidakng rrq face fuchsia tongue out,neutral
lma,positive
alter ego juaraa sih,negative
motidak rrq juara,neutral
liat onic kalah ntar,negative
onic timee,positive
go alter egoe dove,negative
seketika banyak ntidakju jadi sonic face exhaling,negative
lama cokk,negative
gue kindom gue dukung alter ego,positive
alter ego yo bikin ko delwyn seneng,negative
indo indo,positive
mana tadi petidakng alter ego gw tampung,neutral
alter ego menangood tidakme ezz,negative
jam brp mulai,negative
ayo alter ego,negative
waktunya alter ego bukan onic face blue smiling,neutral
siapapun juaranya gua tetep respect buat alter ego sama onic team selalu respect sama lawan nya thumbs up,positive
tid is onic time,negative
nn,positive
waktunya alter ego bukan onic face,negative
alter ego championss,neutral
rrq juara m,neutral
id ikut,positive
lah cendy,positive
alter ego menang hebat sii,positive
semotidak alter ego juara,negative
alter ego,negative
final onic vs evos jam brp,neutral
bismillahh goo onic,positive
ayo onic,negative
mulainya jam wib adik,neutral
alter ego juara sih,negative
santidak cooll,negative
yalter egolah gua selasai goreng telor blm mulai,neutral
alter ego gogogo,negative
alter ego it s time,negative
prediksi,positive
lets goo alter ego,negative
fans alter ego buru udah kalah jutidak,negative
rrq goa cuak,negative
semuanya hujat aja sutsujin bilang alter ego tidak tidakmeplay liat alter ego m omontidakn sutsujin omong kosong,negative
saatnya juara alter ego,positive
onic alter ego,positive
atas langit onic,positive
alter egoe menangood tidakme,negative
onik lah juara nya,positive
alter ego gope dm gua,negative
blok admin judi tertawa,neutral
final onic vs evos jam berapa,neutral
goo alter ego,negative
let s gooph,neutral
alter ego lu tong,negative
bismmilah onic,positive
waktunya onic,positive
pastii bisaa onic,positive
el family is back,neutral
semotidak alter ego menang,negative
prediksi,positive
waktunya onic bukan saluting face,negative
saatnya onic bukan alter ego,positive
bismillah alter ego juara,neutral
let s goo kairuu,positive
rrq goa tidak keluar keluar,positive
tl,negative
alter ego apa lah alter egoe,negative
all in alter ego,negative
jt petidakng alter ego,negative
alter ego,negative
prediksi menang siapa ges,positive
onic back to back,neutral
onic handshake alter ego,neutral
semotidak alter ego menang juara mpl id s,neutral
butuh juara baruu,neutral
kira jam brp matchnya,neutral
kirain evos vs onic,negative
alter ego sih,negative
p e p e q q o n t o l k o n g o m,neutral
alter ego juara gilo ng skylar,positive
rrq main jam berapa hand orange covering eyes,neutral
alter ego mpl king onic m bismillah,negative
walaupun gwe sonic tp gwe pgn liat alter ego menanh,negative
sholat dulu guys,negative
rrq lu mending main pou aja,negative
kasih aja alter ego onic biar mpl indo tidakbosen lu terus juara,negative
rrq main jam brp,neutral
onic id juara,neutral
this is alter ego time,negative
bo lama banget atuh,negative
let s goo onic vs alter ego siapapun pemenangnya terbaik s next bawa pulang piala m,neutral
let s go king arfy,neutral
alter ego,negative
waktunya alter ego bren bukan onic trophy yellow smiling,neutral
yok onic,negative
lets go alter ego,negative
info rrq vs persib jam berapa,neutral
alter ego dipulangin sama onic winking face with tongue,negative
jt sini gua onik yok,negative
dm,negative
sini petidakng alter ego jt tadi,positive
ayolah onic kasih piala nya alter ego aja,negative
alter ego king,negative
goo onic,positive
come on alter ego,negative
onic mendapatkan tiket m let s go onic ku,neutral
aku,positive
semotidak onic menang tapi kasih scor alter ego,negative
alter ego champion,negative
rrq main jam berapa elbowcough,neutral
ayo alter ego,negative
merah lembar petidakng onic,negative
siapapun menang gua senengood tidakme,positive
rrq main,positive
seterah siapa menang,negative
alter egoe rb,negative
langsung aja kasi pialanya alter ego biar mpl tidak membosankan tertawa masa onic ters juara tertawatertawa,neutral
alther ego go go go,negative
tolongs alter egoe,negative
semua bilang sutsujin jantidakn rrq mending srg rrq badut m series tambah tidaktidakl playoff,negative
king alter ego,negative
onic handshake alter ego,neutral
gua dukung menang,positive
face purple crying,positive
alter ego hokinya udh habis tub yakin gw,negative
alter ego go,negative
jam,positive
onic menang,positive
votenya mana min woyy,negative
alter ego bismillah win mpl pertama kali nya,negative
onic jt tidakss,negative
semantidakt jumengood tidakme siap mukbang king krab,neutral
exsper farming aura,positive
letsgo,positive
siapapun menang gua seneng,positive
onic juar,positive
nino wujudkan impianmu,positive
indopride tidakess,negative
yok alter ego alter ego jaya juara antidakat piala,negative
alter ego gogogo,negative
admin tidak peka nih,negative
lamaa,positive
nya tim keren humble,positive
siape kite,negative
ngood tidakmeak rrq dukung alter ego juwara,neutral
alter ego edwi face blue smiling n striming,negative
mulai,positive
jt onic,positive
petidakng alter ego jt tadi mana woii dm gua,negative
bjir anomali mulu,negative
nino goat,negative
both lose both nob,negative
goo todak,negative
indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,neutral
todak,negative
bro nanya rrq juara berapa,neutral
tolongs jantidakn bangood tidakmeain alter ego kalau fans alter ego wajib under kkan alter ego,negative
ayoo alter ego juara pengen banget liat nino juaraa smiling face with halo smiling face with halo,positive
alter ego mengukir sejarah part,negative
xepsre,negative
votenya mana min oyy,negative
siapa fun match coba lah undang mantn pro player old jutidak seru nya,negative
lontee,negative
sonicalterchamps,positive
onic menang karna legend mm hayper sekailar kairi,neutral
mana metidakng alter ego juta sinih dm gua,negative
david gengood tidakmeek,neutral
lama banget,negative
gue alter ego juta,negative
ayo final oi,neutral
alther ego go go,negative
high domino,positive
anomali,negative
sutsujin statement nonsense,negative
alter ego go go go go go,negative
nino goat alter ego king,negative
oi jugan provokator jir,neutral
dejavu,neutral
mulai jam brp ni final,neutral
menuu m,positive
rrq main jam berapa,neutral
alter ego mending suren aja,negative
knp cendy anj,neutral
ntidakpain cendi jir,negative
spam vote guys,positive
tidakss,negative
u,positive
alter ego wajib juara sih,negative
st place medal trophy,positive
serius tidak vote nya ni min,negative
dm gua petidakng alter ego jt,neutral
ayo aktifkan pasif alter ego,negative
tidak tim tidak viewers nya hahaa indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,negative
rrq gogo,neutral
biar admin kerja,neutral
alterchamp,negative
final jam broo,neutral
mana woii,negative
goo alter ego,negative
onic juara balaskan kekalahan evos,neutral
vote,positive
tidakmau onic dah kebanyakan piala mpl nanati onic m aja,negative
alterchamp mana suaranya,negative
alter ego juaranya,negative
rrq go,positive
cendy drak sistem,negative
go rrq,neutral
vote min,positive
chip chip domino,neutral
alter ego onic,negative
m,positive
gf nta rrq lawan mana gess beaming face with smiling eyes,neutral
alterchamp goo,negative
rrq raja setidakla raja goa,neutral
m tidaks,negative
tlph dibagi telor ama rrq tlph mah team ez onic mah tim apaan,negative
woii,negative
admin ntidakntuk,negative
rrq kapan malter egon,negative
indo indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,neutral
trophy yellow smiling onic,positive
hahahahah egood tidakmepos kapan malter egon gess,negative
sematidakt,negative
onic trophy yellow smiling,positive
sini jt gw petidakng onic face blue smiling,negative
go rrq go to the bank tidakme,neutral
alter ego go go go go go go,negative
votenya mana min,negative
ayo onic,negative
rrq badut,negative
kingdom ayam,positive
nyo rekber tidak,neutral
onic kalah,negative
gue alter ego juta serius,negative
kiukiu,positive
jantidakn cari tidak ads,negative
bandar qq domino,positive
grand final nya rrq vs mana gess face with hand over mouth,neutral
yt yt yt yt,negative
alter ego is next the champion,negative
index pointing up clown face,negative
kelamaan astatidaka,positive
butuh vote,positive
let s go alther ego,negative
evos kapan main,negative
kiumiu,positive
rrq turu sleepy face sleepy face,neutral
waktu uang,positive
hm,negative
eek,negative
remehin alter ego biar juara moai,negative
juta alter ego,negative
onic menang lah,positive
alter ego semantidaktt,negative
juta alter ego,negative
kurumu,negative
berani taruhan juta onic vs alter ego,neutral
my kairi loudly crying face loudly crying face,negative
kingdom dukung alter ego karna nino jutidak dukung alter ego karna benci onic face with tears of joy fakta,negative
lest go alter ego,negative
this is onic timee,negative
tidaks alter ego jt,positive
onic jatuh dr langit,positive
udh onic menang,neutral
match mentidakndung beras,neutral
gelo cendy,neutral
rrq,positive
rrq juara mulu bosen jadinya,negative
onic vs alter ego sejuta sinii wa,negative
alter ego gokgokgokgokgok,negative
lama banget mulainya,negative
alter ego tim apaan rrq punya lemong jago kagura speaking head,positive
jam berapa mulai nya,negative
dong alter ego juara,negative
tidaksken,negative
card red penalty,negative
domino,positive
draf bagus hero pool byk,positive
bismillah onic juara trophy,positive
tidak sejarahnya badut juara mpl,neutral
mulai jam beralter egopa,neutral
siapa dukung onic komentar bawah gess,positive
alter ego go go go,negative
goceng onic nichh,positive
onic,positive
onic vc alter ego gua onic sejuta wa,negative
alter ego,negative
popcorn yellow striped smile,negative
jt alter ego lanjut dm aja roqs,negative
ar juara,neutral
rrq juaranya,positive
tidaks jt up,negative
bismillah alter egoe,negative
onic team apaan rrq punya lemong jago kagura speaking head,positive
onic juaranya liat aja,positive
hah rrq yakin,positive
kingdom nyamar jadi fans alter ego,negative
hidup jokowi,positive
tidakss onic,negative
alterr egoo,negative
apapun hasilnya onic juaranya,positive
let s go onic,positive
googoo alter ego,negative
alter ego lah,negative
alter ego selama nino kiamat tidak bakalan juara,negative
dukung onic tp kalau alter ego juarapun tidak pp ikhlas kalau guamah,negative
rrq jelek,negative
fans fomo karbit oknum jutidak kumpul disini ahahah face with tears of joy rolling on the floor laughing rolling on the floor laughing,neutral
drama iklan,positive
rrq tim apaan,negative
viva rrq,neutral
abden kang,neutral
jm brp mainnya ni,positive
bismillah alter ego juara,neutral
score nya,negative
rrq miskin,negative
jt onic,positive
juta alter ego menang,negative
bismillah alter ego juaranya,positive
ku jual mobil gue kalah onic,negative
mulainya jam tungood tidakmeu aja,negative
winking face with tongue,positive
rrq,positive
face exhaling,positive
rrq biadap,negative
alter ego juara biar mpl ida tidak jadi litidak tani bosen onic mulu,negative
letssgoo rrq juara,positive
onic juara lah,positive
bosannyaa head shaking horizontally,negative
prediksi guaa juaranya salah satuu nihh handshake,neutral
evos kapan main,negative
lemon the goat mobile legendsbb,positive
alter ego juaraa,negative
hidup joki,negative
alter ego kyknya sieh,negative
dukung rrq tidak ush nonton mewek,neutral
goo,positive
onik sama rrq bubar aja alter ego juara,negative
tidaknti music nya bosen,negative
gua dukung onic tapi alter ego kasih perlawanan,positive
mulai nya jam berapaa inii,negative
king alter ego tolongs,negative
lah ad si cendy skip dulu daah,neutral
alter ego jt sini,negative
jt onic,positive
top global rrq go,neutral
onic main j brp,neutral
alter ego ribu,negative
apaan si sini tidakada fomo an fun aja,negative
rrq kapan main,positive
rrq baduttyy face blue smiling,neutral
admin memmejkk,negative
alter ego juaraa,negative
onic fiks,negative
taruhan tidakme,positive
rrq main jam berapa,neutral
goaa,positive
alter ego mengukir sejarah,negative
kingdom nyamar jadi altercamp,neutral
tlph dibagi telor ama rrq tlph mah team ez onic mah tim apaan semua benci rrq cuman iri ama rrq,negative
hidup joki ajing biji hilang satu,negative
alter ego punya doa jalur langit,negative
rrq raja setidakla raja,neutral
winking face with tongue backhand index pointing up,neutral
rrq juara nontonin play op,neutral
rrq kapan mainnya,positive
jantidakn taruhan tim kalian dukung kalah tidakmau bayar face with tears of joy,negative
lah,positive
alter ego ribu,negative
bocil kingdom nonton jutidak,negative
ayok onic kalian menang lg flexed biceps,positive
lemon the real goat lemon lemon lemon,positive
onik jt,positive
tidaks alter ego,positive
yuu alter ego,negative
ucup jarko,neutral
gooaa,positive
alter ego jago banget,positive
rrq kapan main min,neutral
w,positive
iklan trus,negative
gook alter ego,negative
iklannya masayaaallah tabarakallah,positive
evos,negative
