message_clean,sentimen
jam brpa malter egon nya,negatif
go alter ego go alter ego go,netral
alter ego juara kerana alter ego on fire and lama menanti sedantidakan onic masi posisi selesa,positif
nya alter ego juara,positif
delwyn dellost nih guyss,netral
onic go to goa lah alter ego juara,positif
bismillahirrahmanirrahim semotidak onic juara,positif
p,negatif
kasih terbaik aja kedua team,positif
petidakng ererq jt all in,netral
rrq tidak diundang kasihan huahahahhaa,negatif
alter ego,negatif
jam baru mulai,netral
nt onic,negatif
rrq kapan,netral
alter ego onic,negatif
alter egoe juta,negatif
onic lose boss,negatif
fans onic berjejer blng anic time,netral
ntidakpain kesian,negatif
catat tidakiss alter ego juara,positif
lama kali cok,negatif
jam berapa sih mulainya,netral
rrq main nya jam brp,netral
onic skylar,netral
fokus diri masing aja,positif
yapping,positif
hidupp rrq,positif
alter ego juara ni,positif
ngetik alter ego win sonic jmbd,netral
savero main,netral
diatas onic rrq,netral
ceban,negatif
alter egoe lah onic udah gbkln juara kemaren udah juara tidak muntidakin juara lagii,negatif
alter ego gogogogo,negatif
rrq jam brp main,netral
sonic kumpul squinting face with tongue backhand index pointing up,netral
alter ego champion,negatif
jam mulainya,netral
onik,negatif
ntidakak bacanya loudly crying face,negatif
opet,negatif
jam brp kak,netral
main jam brapa,netral
rrq dah juara m woyy,positif
alter ego onic,negatif
hujan redah nya cuyy,negatif
onic,positif
jam mulainya,netral
alter ego,negatif
final rrq vs tlid rolling on the floor laughing,netral
counter tlph cuman onic tidakys face with hand over mouth,negatif
jt onic,netral
t,negatif
onic alter ego,negatif
onic posisi udah selesa cuma belum piala m series piala mpl udah banyak kalau onic kalah sini no effect apa apa alter ego on fire jadi aura nyaa kuat,positif
rrq mainnya jam berapa yak,netral
mat seru ni,positif
rrq dah juara m woy,positif
tandain mvp nya yazukee,netral
misi balas dendam alter ego ni face blue smiling,negatif
counter tlph cuman onic tidakys face with hand over mouth,negatif
ayok onic it s onic time,positif
onic menang,positif
mnit,negatif
match jam berapa,netral
alter ego mengulang apa tlid lakukan,negatif
fun match harusnya undang badut rrq,netral
semotidak alter ego menag yaallah,negatif
inioc,negatif
cendy ntidakpain,netral
bismillah onic juara,positif
jam main udah live hahaha,positif
kok bawa bawa rrq dah,negatif
apa onic,negatif
yeahh mnit lgi,negatif
main jm berapa,netral
ayo landak kuning hedgehog,negatif
go alter egoe,netral
fans fanatik rrq mana nih tertawaw face purple crying,netral
ayo onic ayo alter ego kasih perlawanan asik,positif
bismillah semotidak onic menang palms up together,positif
semantidakt alter ego,negatif
onic onic,negatif
king alter ego siap bantai,negatif
lah bang cendol tertawa,positif
solat dulu ges,netral
sejarah mpl s is bsck,netral
skylar kairi dikantongin yazukee,netral
rrq goa belajar tembak toy toy toy,netral
go kairi red heart hedgehog,netral
bismillah alter ego juaraa,positif
mana,negatif
main jam berapa,netral
semotidak onic menang allah smiling face with halo folded hands,positif
mama aku m,netral
mulainya terlalu sore,negatif
go alter egoe,netral
onic m bismillah,netral
ko blm mulai,negatif
onic back to back champions,netral
lembar merah onic,netral
albaniakbar caper banget kurang perhatian ortu,negatif
semotidak hari keberuntuntidakn buat tim kesukaan ku menang onic,positif
onic onic onic,negatif
bismillah semotidak alter ego juara loudly crying face,positif
rrq mengukir sejarah,positif
ayo alter ego tolongs kalian bisaa,negatif
lama njit,negatif
mulai jam ges,netral
onic onic,negatif
sekali onic tetap onic,positif
jam brpa main,netral
lamaa,negatif
mamah aku m,netral
jam,netral
baru baca langsung hilang face with tears of joy,negatif
onic sama madrid jarang kalah difinal,positif
alter ego bismillah,netral
ez onic inimah,negatif
bismillah onic menang,positif
sorry end thenk you it s my stail,negatif
juta alter ego,negatif
ayo ajak lembar merah gua alter ego nih,negatif
mulai jam ges,netral
mulai jam berapa,netral
jt yuk aku pengood tidakmeang alter ego,negatif
baru mulai,netral
semotidak onic kalah,negatif
mana notif munn,negatif
semuanya bilang terima kasih sutsujin alter ego m atas statement bilang alter ego tidak tidakmeplay buktinya alter ego punya tidakmeplay lolos m,negatif
juta onic,negatif
ayo gua onic,netral
jam lima baru mulai,netral
juta alter ego sini gua tampung cat orange whistling,netral
juta onic,negatif
fg dr,netral
gd g df,netral
dfg,negatif
fd g,negatif
fd,positif
gfd,positif
jt onic berani ngood tidakmea,negatif
hi,positif
menang alter ego,negatif
person turqouise waving,netral
kapan mulai si,negatif
kontak kontak,netral
ayo semantidakt onic,positif
m,netral
onic main jam brp bng,netral
sorry koh gw ngecewain lu,negatif
jt aku petidakng budhe,negatif
shushing face,positif
masi lama co,negatif
jt gw onis sini,negatif
jam berapa sih mulainya,netral
ayo jantidakn hilantidakan,negatif
jam berapaa,netral
juta alter ego,negatif
langsung aja kasih pialanya onic,netral
tidak berjudi kalau kalian taruhan pake uang sama aja dentidakn berjudai,negatif
tolongs remehin alter ego biar menang,negatif
yo gua tampung nih mau berapa juta,netral
jt berani gw onic,negatif
bismillah alter ego menang,positif
bismillah onic antidakat piala palms up together red heart,netral
sini evos jt,netral
text green tidakme over,positif
jt gw onic sini,netral
alter ego,negatif
sini evos jt,netral
sepi,negatif
gua alter ego nih,negatif
admin sibuk ngespam tertawatertawak,negatif
dukung onic mana suaranya elbowcough,positif
onic dong,negatif
lama jirr,negatif
napa si cendol tertawak,negatif
onic gw,positif
alter ego tidakss,negatif
mulai nya,positif
alter ego vs onic jam brpa,netral
sini rrq m,netral
rrq jayaa,positif
gua onic mna evoss jt sini,netral
goo goo onic,negatif
nicc,netral
udah jam nihh woyy,netral
dikira tlph doang apa jago tertawatertawa srg jutidak jago woyy,negatif
semua bilang sutsujin membuat alter ego m,negatif
jt alter ego,negatif
onic jta,netral
sih malter egonnya,negatif
kindom goa sinyal buat nonton serius nanya,netral
goo alter egoe,negatif
pov papan atas bukan,negatif
jt gw alter ego sini,negatif
onic,positif
skyleerr,positif
onic go go go,netral
grand final belum final,netral
petidakng evos sini gua alter ego jt,negatif
juta onic,negatif
mulai jam berapa,netral
mau jt gw petidakng alter ego,negatif
alter ego tidak da tidakmeplay,negatif
bang gue live tapi sepi,negatif
laah ntidakpain fun match,positif
onic,positif
landak landak ntidakrep juara alter ego nih gua,negatif
onic go go,positif
gua onic bakal juara alter ego cupu,positif
alter egoe,negatif
cendoll,positif
kasih langsung piala onik,netral
juta onic,negatif
alter ego bego bego bego,negatif
jam brpa mulai nya,netral
aku onic jta,netral
bawa trophy gh alter ego no,netral
jt onic,netral
langsung aja min,netral
biar senam jantung,positif
alter ego menangood tidakme,negatif
alter ego,negatif
hand pink waving,positif
onic alter ego sanz mvp,netral
gue pilih menang aja rolling on the floor laughing,netral
lets goo onic,netral
all in jt alter ego,negatif
alter ego pulang aja juara onic,negatif
lama yak,negatif
geloo ketuaa,negatif
kena kencing lg,negatif
persib,netral
alter ego goo,negatif
t onic,negatif
alter ego,negatif
yokk nic,netral
milliar rrq,positif
alter egoe,negatif
paling ntar mulainya jam kek kemaren,netral
onic,positif
akwoakwoka,negatif
tempek,negatif
bravo nino,positif
jt alter ego,negatif
siapa aja juara gw happy,positif
w pengen liat alter ego menang tp pengen liat skylar membuktikan baru main juara,netral
onic alter ego,negatif
onic,positif
jam mainnya tungood tidakmeuin aja,negatif
letss go onic,positif
onic,positif
panic,negatif
alter ego yok champion,negatif
jt all in alter ego,negatif
hujat alter ego fansnya kongdom,negatif
sanz mvp,netral
its rrq time,positif
jadi judii,negatif
gw mau liat nino nangis antidakat piala mpl,netral
onic,positif
perebutan piala,netral
onic,positif
alter ego,negatif
siapa santidaka,negatif
piala onic,netral
jt all in onic,netral
alter ego,negatif
woo,positif
menang ditungood tidakmeu king rrq m orange heart,positif
onic alter ego,negatif
siapapun juara semantidakt terus heart suit,positif
lama habis magrib mainya,negatif
angood tidakmeota dri mpl tidak byr uang taruhan gua anjuga,negatif
alter ego nii broo,negatif
nino nangis antidakat piala mpl,negatif
let s go final rrq cat orange whistling,netral
alter ego,negatif
kali,netral
walaupun onic kuat tapi gw tetap sokong alter egoe,negatif
all in alter ego,negatif
mpl nyari beras,netral
alter ego yok,negatif
onic juara,positif
bocil fomo onic diem aja lah,negatif
let s goo alter egoo,netral
yng menang rrq,positif
udah onic kasih aja piala alter ego kasihan nino winking face with tongue winking face with tongue winking face with tongue,negatif
lest goo alter ego,netral
alter ego ayo,negatif
o n i c,netral
gw metidakng alter ego sini,negatif
onic goo,positif
gw kingdom alter ego kalah,negatif
rrq m lewat jalur panarukan,netral
alter ego broo,negatif
ayaloh alter ego,negatif
mpl sentidakja keknya grandfinal awal bulan,netral
goonic,positif
onic bismillah,positif
goo onic,positif
alter ego kalahh tertawatertawawakkw,negatif
onic timee broo,positif
statement sutsujin mimpi bilang alter ego tidak tidakmeplay liat tuh alter ego m tertawatertawatertawa aduh ujin ujin mending mpl my aja ujin tidak usah sama tim badut m series,negatif
jt metidakng onik sini,negatif
alter ego alter ego alter ego,negatif
alter ego win,negatif
go nic,netral
tlph dibagi telor ama rrq tlph mah team ez,netral
gogogo alter ego,negatif
udah ditebak juaranya onic,positif
jt gua petidakng rrq face fuchsia tongue out,netral
lma,positif
alter ego juaraa sih,negatif
motidak rrq juara,positif
liat onic kalah ntar,negatif
onic timee,positif
go alter egoe dove,netral
seketika banyak ntidakju jadi sonic face exhaling,netral
lama cokk,negatif
gue kindom gue dukung alter ego,negatif
alter ego yo bikin ko delwyn seneng,positif
indo indo,positif
mana tadi petidakng alter ego gw tampung,negatif
alter ego menangood tidakme ezz,negatif
jam brp mulai,netral
ayo alter ego,negatif
waktunya alter ego bukan onic face blue smiling,netral
siapapun juaranya gua tetep respect buat alter ego sama onic team selalu respect sama lawan nya thumbs up,positif
tid is onic time,netral
nn,positif
waktunya alter ego bukan onic face,negatif
alter ego championss,netral
rrq juara m,positif
id ikut,netral
lah cendy,positif
alter ego menang hebat sii,positif
semotidak alter ego juara,positif
alter ego,negatif
final onic vs evos jam brp,netral
bismillahh goo onic,positif
ayo onic,netral
mulainya jam wib adik,netral
alter ego juara sih,positif
santidak cooll,positif
yalter egolah gua selasai goreng telor blm mulai,negatif
alter ego gogogo,negatif
alter ego it s time,netral
prediksi,netral
lets goo alter ego,netral
fans alter ego buru udah kalah jutidak,negatif
rrq goa cuak,negatif
semuanya hujat aja sutsujin bilang alter ego tidak tidakmeplay liat alter ego m omontidakn sutsujin omong kosong,negatif
saatnya juara alter ego,positif
onic alter ego,negatif
atas langit onic,netral
alter egoe menangood tidakme,negatif
onik lah juara nya,positif
alter ego gope dm gua,netral
blok admin judi tertawa,negatif
final onic vs evos jam berapa,netral
goo alter ego,negatif
let s gooph,netral
alter ego lu tong,negatif
bismmilah onic,positif
waktunya onic,netral
pastii bisaa onic,negatif
el family is back,netral
semotidak alter ego menang,negatif
prediksi,netral
waktunya onic bukan saluting face,negatif
saatnya onic bukan alter ego,negatif
bismillah alter ego juara,positif
let s goo kairuu,netral
rrq goa tidak keluar keluar,netral
tl,netral
alter ego apa lah alter egoe,negatif
all in alter ego,negatif
jt petidakng alter ego,negatif
alter ego,negatif
prediksi menang siapa ges,negatif
onic back to back,negatif
onic handshake alter ego,netral
semotidak alter ego menang juara mpl id s,netral
butuh juara baruu,positif
kira jam brp matchnya,netral
kirain evos vs onic,netral
alter ego sih,negatif
p e p e q q o n t o l k o n g o m,netral
alter ego juara gilo ng skylar,negatif
rrq main jam berapa hand orange covering eyes,netral
alter ego mpl king onic m bismillah,netral
walaupun gwe sonic tp gwe pgn liat alter ego menanh,negatif
sholat dulu guys,netral
rrq lu mending main pou aja,negatif
kasih aja alter ego onic biar mpl indo tidakbosen lu terus juara,negatif
rrq main jam brp,netral
onic id juara,positif
this is alter ego time,netral
bo lama banget atuh,negatif
let s goo onic vs alter ego siapapun pemenangnya terbaik s next bawa pulang piala m,netral
let s go king arfy,netral
alter ego,negatif
waktunya alter ego bren bukan onic trophy yellow smiling,netral
yok onic,netral
lets go alter ego,netral
info rrq vs persib jam berapa,netral
alter ego dipulangin sama onic winking face with tongue,netral
jt sini gua onik yok,netral
dm,netral
sini petidakng alter ego jt tadi,negatif
ayolah onic kasih piala nya alter ego aja,negatif
alter ego king,negatif
goo onic,positif
come on alter ego,negatif
onic mendapatkan tiket m let s go onic ku,netral
aku,positif
semotidak onic menang tapi kasih scor alter ego,negatif
alter ego champion,negatif
rrq main jam berapa elbowcough,netral
ayo alter ego,negatif
merah lembar petidakng onic,netral
siapapun menang gua senengood tidakme,positif
rrq main,netral
seterah siapa menang,negatif
alter egoe rb,netral
langsung aja kasi pialanya alter ego biar mpl tidak membosankan tertawa masa onic ters juara tertawatertawa,positif
alther ego go go go,netral
tolongs alter egoe,negatif
semua bilang sutsujin jantidakn rrq mending srg rrq badut m series tambah tidaktidakl playoff,negatif
king alter ego,negatif
onic handshake alter ego,netral
gua dukung menang,positif
face purple crying,netral
alter ego hokinya udh habis tub yakin gw,positif
alter ego go,netral
jam,netral
onic menang,positif
votenya mana min woyy,netral
alter ego bismillah win mpl pertama kali nya,netral
onic jt tidakss,negatif
semantidakt jumengood tidakme siap mukbang king krab,positif
exsper farming aura,netral
letsgo,netral
siapapun menang gua seneng,positif
onic juar,positif
nino wujudkan impianmu,netral
indopride tidakess,negatif
yok alter ego alter ego jaya juara antidakat piala,netral
alter ego gogogo,negatif
admin tidak peka nih,negatif
lamaa,negatif
nya tim keren humble,positif
siape kite,positif
ngood tidakmeak rrq dukung alter ego juwara,negatif
alter ego edwi face blue smiling n striming,netral
mulai,netral
jt onic,netral
petidakng alter ego jt tadi mana woii dm gua,negatif
bjir anomali mulu,negatif
nino goat,negatif
both lose both nob,negatif
goo todak,negatif
indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,netral
todak,negatif
bro nanya rrq juara berapa,netral
tolongs jantidakn bangood tidakmeain alter ego kalau fans alter ego wajib under kkan alter ego,negatif
ayoo alter ego juara pengen banget liat nino juaraa smiling face with halo smiling face with halo,positif
alter ego mengukir sejarah part,netral
xepsre,positif
votenya mana min oyy,netral
siapa fun match coba lah undang mantn pro player old jutidak seru nya,positif
lontee,negatif
sonicalterchamps,netral
onic menang karna legend mm hayper sekailar kairi,netral
mana metidakng alter ego juta sinih dm gua,negatif
david gengood tidakmeek,positif
lama banget,negatif
gue alter ego juta,negatif
ayo final oi,positif
alther ego go go,netral
high domino,positif
anomali,negatif
sutsujin statement nonsense,netral
alter ego go go go go go,netral
nino goat alter ego king,negatif
oi jugan provokator jir,negatif
dejavu,netral
mulai jam brp ni final,netral
menuu m,negatif
rrq main jam berapa,netral
alter ego mending suren aja,negatif
knp cendy anj,negatif
ntidakpain cendi jir,netral
spam vote guys,negatif
tidakss,negatif
u,positif
alter ego wajib juara sih,positif
st place medal trophy,netral
serius tidak vote nya ni min,negatif
dm gua petidakng alter ego jt,netral
ayo aktifkan pasif alter ego,netral
tidak tim tidak viewers nya hahaa indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,positif
rrq gogo,netral
biar admin kerja,netral
alterchamp,positif
final jam broo,positif
mana woii,negatif
goo alter ego,negatif
onic juara balaskan kekalahan evos,netral
vote,netral
tidakmau onic dah kebanyakan piala mpl nanati onic m aja,negatif
alterchamp mana suaranya,negatif
alter ego juaranya,positif
rrq go,netral
cendy drak sistem,netral
go rrq,netral
vote min,netral
chip chip domino,netral
alter ego onic,negatif
m,netral
gf nta rrq lawan mana gess beaming face with smiling eyes,netral
alterchamp goo,netral
rrq raja setidakla raja goa,netral
m tidaks,negatif
tlph dibagi telor ama rrq tlph mah team ez onic mah tim apaan,negatif
woii,negatif
admin ntidakntuk,netral
rrq kapan malter egon,negatif
indo indo indo rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,netral
trophy yellow smiling onic,netral
hahahahah egood tidakmepos kapan malter egon gess,negatif
sematidakt,netral
onic trophy yellow smiling,netral
sini jt gw petidakng onic face blue smiling,netral
go rrq go to the bank tidakme,netral
alter ego go go go go go go,netral
votenya mana min,netral
ayo onic,netral
rrq badut,negatif
kingdom ayam,netral
nyo rekber tidak,negatif
onic kalah,negatif
gue alter ego juta serius,negatif
kiukiu,negatif
jantidakn cari tidak ads,negatif
bandar qq domino,netral
grand final nya rrq vs mana gess face with hand over mouth,netral
yt yt yt yt,negatif
alter ego is next the champion,netral
index pointing up clown face,netral
kelamaan astatidaka,negatif
butuh vote,netral
let s go alther ego,netral
evos kapan main,netral
kiumiu,positif
rrq turu sleepy face sleepy face,netral
waktu uang,negatif
hm,negatif
eek,negatif
remehin alter ego biar juara moai,negatif
juta alter ego,negatif
onic menang lah,positif
alter ego semantidaktt,negatif
juta alter ego,negatif
kurumu,negatif
berani taruhan juta onic vs alter ego,netral
my kairi loudly crying face loudly crying face,netral
kingdom dukung alter ego karna nino jutidak dukung alter ego karna benci onic face with tears of joy fakta,negatif
lest go alter ego,netral
this is onic timee,netral
tidaks alter ego jt,negatif
onic jatuh dr langit,negatif
udh onic menang,positif
match mentidakndung beras,netral
gelo cendy,negatif
rrq,netral
rrq juara mulu bosen jadinya,negatif
onic vs alter ego sejuta sinii wa,netral
alter ego gokgokgokgokgok,negatif
lama banget mulainya,negatif
alter ego tim apaan rrq punya lemong jago kagura speaking head,negatif
jam berapa mulai nya,netral
dong alter ego juara,positif
tidaksken,negatif
card red penalty,negatif
domino,positif
draf bagus hero pool byk,positif
bismillah onic juara trophy,netral
tidak sejarahnya badut juara mpl,negatif
mulai jam beralter egopa,netral
siapa dukung onic komentar bawah gess,negatif
alter ego go go go,netral
goceng onic nichh,positif
onic,positif
onic vc alter ego gua onic sejuta wa,netral
alter ego,negatif
popcorn yellow striped smile,netral
jt alter ego lanjut dm aja roqs,netral
ar juara,positif
rrq juaranya,positif
tidaks jt up,negatif
bismillah alter egoe,netral
onic team apaan rrq punya lemong jago kagura speaking head,negatif
onic juaranya liat aja,positif
hah rrq yakin,positif
kingdom nyamar jadi fans alter ego,negatif
hidup jokowi,positif
tidakss onic,negatif
alterr egoo,netral
apapun hasilnya onic juaranya,positif
let s go onic,netral
googoo alter ego,negatif
alter ego lah,negatif
alter ego selama nino kiamat tidak bakalan juara,negatif
dukung onic tp kalau alter ego juarapun tidak pp ikhlas kalau guamah,negatif
rrq jelek,negatif
fans fomo karbit oknum jutidak kumpul disini ahahah face with tears of joy rolling on the floor laughing rolling on the floor laughing,netral
drama iklan,negatif
rrq tim apaan,negatif
viva rrq,netral
abden kang,positif
jm brp mainnya ni,netral
bismillah alter ego juara,positif
score nya,positif
rrq miskin,negatif
jt onic,netral
juta alter ego menang,negatif
bismillah alter ego juaranya,positif
ku jual mobil gue kalah onic,negatif
mulainya jam tungood tidakmeu aja,negatif
winking face with tongue,netral
rrq,netral
face exhaling,netral
rrq biadap,negatif
alter ego juara biar mpl ida tidak jadi litidak tani bosen onic mulu,negatif
letssgoo rrq juara,positif
onic juara lah,positif
bosannyaa head shaking horizontally,negatif
prediksi guaa juaranya salah satuu nihh handshake,positif
evos kapan main,netral
lemon the goat mobile legendsbb,netral
alter ego juaraa,positif
hidup joki,negatif
alter ego kyknya sieh,negatif
dukung rrq tidak ush nonton mewek,negatif
goo,positif
onik sama rrq bubar aja alter ego juara,negatif
tidaknti music nya bosen,negatif
gua dukung onic tapi alter ego kasih perlawanan,negatif
mulai nya jam berapaa inii,netral
king alter ego tolongs,negatif
lah ad si cendy skip dulu daah,negatif
alter ego jt sini,negatif
jt onic,netral
top global rrq go,positif
onic main j brp,netral
alter ego ribu,negatif
apaan si sini tidakada fomo an fun aja,negatif
rrq kapan main,netral
rrq baduttyy face blue smiling,netral
admin memmejkk,netral
alter ego juaraa,positif
onic fiks,positif
taruhan tidakme,negatif
rrq main jam berapa,netral
goaa,positif
alter ego mengukir sejarah,netral
kingdom nyamar jadi altercamp,netral
tlph dibagi telor ama rrq tlph mah team ez onic mah tim apaan semua benci rrq cuman iri ama rrq,negatif
hidup joki ajing biji hilang satu,negatif
alter ego punya doa jalur langit,netral
rrq raja setidakla raja,positif
winking face with tongue backhand index pointing up,netral
rrq juara nontonin play op,positif
rrq kapan mainnya,netral
jantidakn taruhan tim kalian dukung kalah tidakmau bayar face with tears of joy,negatif
lah,positif
alter ego ribu,negatif
bocil kingdom nonton jutidak,negatif
